SUBNATIONAL1,SUBNATIONAL2,PERTE,ANNEE
Biskra,Ourlal,0,2001
Biskra,Ras Miaad|Ouled Sassi,0,2001
Biskra,Sidi Khaled,0,2001
Biskra,Sidi Okba,0,2001
Biskra,Tolga,0,2001
Biskra,Zeribet El Oued,0,2001
Blida,Ain Romana,54,2001
Blida,Beni Merad,0,2001
Blida,Beni-Tamou,0,2001
Blida,Benkhelil,0,2001
Blida,Blida,9,2001
Blida,Bouaarfa,4,2001
Blida,Boufarik,0,2001
Blida,Bougara,7,2001
Blida,Bouinan,4,2001
Blida,Chebli,0,2001
Blida,Chiffa,0,2001
Blida,Chrea,52,2001
Blida,Djebabra,26,2001
Blida,El-Affroun,19,2001
Blida,Gherouaou,0,2001
Blida,Hammam Melouane,129,2001
Blida,Larbaa,0,2001
Blida,Meftah,52,2001
Blida,Mouzaia,0,2001
Blida,Oued Djer,18,2001
Blida,Oued El Alleug,0,2001
Blida,Ouled Slama,9,2001
Blida,Ouled Yaich,0,2001
Blida,Souhan,4,2001
Blida,Soumaa,0,2001
Bordj Bou Arréridj,Ain Taghrout,0,2001
Bordj Bou Arréridj,Ain Tesra,0,2001
Bordj Bou Arréridj,Belimour,0,2001
Bordj Bou Arréridj,Bendaoud,0,2001
Bordj Bou Arréridj,Bir Kasdali,0,2001
Bordj Bou Arréridj,Bordj Bou Arreridj,0,2001
Bordj Bou Arréridj,Bordj Ghdir,0,2001
Bordj Bou Arréridj,Bordj Zemoura,1,2001
Bordj Bou Arréridj,Colla,0,2001
Bordj Bou Arréridj,Djaafra,0,2001
Bordj Bou Arréridj,El Ach,0,2001
Bordj Bou Arréridj,El Achir,0,2001
Bordj Bou Arréridj,El Anseur,0,2001
Bordj Bou Arréridj,El Hamadia,0,2001
Bordj Bou Arréridj,El Main,0,2001
Bordj Bou Arréridj,El M'Hir,0,2001
Bordj Bou Arréridj,Ghilassa,1,2001
Bordj Bou Arréridj,Haraza,0,2001
Bordj Bou Arréridj,Hasnaoua,0,2001
Bordj Bou Arréridj,Khelil,0,2001
Bordj Bou Arréridj,Ksour,0,2001
Bordj Bou Arréridj,Mansoura,0,2001
Bordj Bou Arréridj,Medjana,0,2001
Bordj Bou Arréridj,Ouled Brahem,0,2001
Bordj Bou Arréridj,Ouled Dahmane,0,2001
Bordj Bou Arréridj,Ouled Sidi Brahim,0,2001
Bordj Bou Arréridj,Rabta,0,2001
Bordj Bou Arréridj,Ras El Oued,0,2001
Bordj Bou Arréridj,Sidi Embarek,0,2001
Bordj Bou Arréridj,Tafreg,0,2001
Bordj Bou Arréridj,Taglait,0,2001
Bordj Bou Arréridj,Teniet En Nasr,0,2001
Bordj Bou Arréridj,Tesmart,0,2001
Bordj Bou Arréridj,Tixter,0,2001
Bouira,Aghbalou,0,2001
Bouira,Ahl El Ksar,0,2001
Bouira,Ahnif,0,2001
Bouira,Ain El Hadjar,0,2001
Bouira,Ain Laloui,0,2001
Bouira,Ain Turk,0,2001
Bouira,Ain-Bessem,1,2001
Bouira,Ait Laaziz,0,2001
Bouira,Aomar,0,2001
Bouira,Ath Mansour Taourirt,0,2001
Bouira,Bechloul,0,2001
Bouira,Bir Ghbalou,0,2001
Bouira,Bordj Okhriss,0,2001
Bouira,Bouderbala,0,2001
Bouira,Bouira,0,2001
Bouira,Boukram,0,2001
Bouira,Chorfa,0,2001
Bouira,Dechmia,0,2001
Bouira,Dirrah,0,2001
Bouira,Djebahia,0,2001
Bouira,El Adjiba,0,2001
Bouira,El Asnam,40,2001
Bouira,El Hachimia,0,2001
Bouira,El Hakimia,0,2001
Bouira,El Khabouzia,0,2001
Bouira,El Mokrani|El Madjen,0,2001
Bouira,Guerrouma,0,2001
Bouira,Hadjera Zerga,0,2001
Bouira,Haizer,4,2001
Bouira,Kadiria,0,2001
Bouira,Lakhdaria,3,2001
Bouira,Maala,3,2001
Bouira,Maamora,0,2001
Bouira,M'Chedallah,0,2001
Bouira,Mezdour,0,2001
Bouira,Oued El Berdi,0,2001
Bouira,Ouled Rached,4,2001
Bouira,Raouraoua,0,2001
Bouira,Ridane,0,2001
Bouira,Saharidj,0,2001
Bouira,Souk El Khemis,0,2001
Bouira,Sour El Ghouzlane,4,2001
Bouira,Taghzout,1,2001
Bouira,Taguedit,0,2001
Bouira,Zbarbar|El Isseri,2,2001
Boumerdès,Afir,10,2001
Boumerdès,Ammal,1,2001
Boumerdès,Baghlia,0,2001
Boumerdès,Ben Choud,0,2001
Boumerdès,Beni Amrane,0,2001
Boumerdès,Bordj Menaiel,1,2001
Boumerdès,Boudouaou,2,2001
Boumerdès,Boudouaou El Bahri,0,2001
Boumerdès,Boumerdes,1,2001
Boumerdès,Bouzegza Keddara,6,2001
Boumerdès,Chabet El Ameur,0,2001
Boumerdès,Corso,0,2001
Boumerdès,Dellys,2,2001
Boumerdès,Djinet,0,2001
Boumerdès,El Kharrouba,5,2001
Boumerdès,Hammadi,0,2001
Boumerdès,Isser,0,2001
Boumerdès,Khemis El Khechna,2,2001
Boumerdès,Larbatache,5,2001
Boumerdès,Leghata,6,2001
Boumerdès,Naciria,0,2001
Boumerdès,Ouled Aissa,0,2001
Boumerdès,Ouled Hedadj,0,2001
Boumerdès,Ouled Moussa,0,2001
Boumerdès,Si Mustapha,0,2001
Boumerdès,Sidi Daoud,1,2001
Boumerdès,Souk El Had,2,2001
Boumerdès,Taourga,0,2001
Boumerdès,Thenia,3,2001
Boumerdès,Tidjelabine,1,2001
Boumerdès,Timezrit,1,2001
Boumerdès,Zemmouri,15,2001
Chlef,Abou El Hassen,0,2001
Chlef,Ain Merrane,0,2001
Chlef,Benairia,0,2001
Chlef,Beni Bouattab,33,2001
Chlef,Beni Haoua,2,2001
Chlef,Beni Rached,0,2001
Chlef,Boukadir,0,2001
Chlef,Bouzeghaia,0,2001
Chlef,Breira,0,2001
Chlef,Chettia,0,2001
Chlef,Chlef,0,2001
Chlef,Dahra,1,2001
Chlef,El Hadjadj,0,2001
Chlef,El Karimia,0,2001
Chlef,El Marsa,63,2001
Chlef,Harchoune,0,2001
Chlef,Herenfa,0,2001
Chlef,Labiod Medjadja,0,2001
Chlef,Moussadek,1,2001
Chlef,Oued Fodda,0,2001
Chlef,Oued Goussine,2,2001
Chlef,Oued Sly,0,2001
Chlef,Ouled Abbes,0,2001
Chlef,Ouled Ben Abdelkader,10,2001
Chlef,Ouled Fares,0,2001
Chlef,Oum Drou,0,2001
Chlef,Sendjas,7,2001
Chlef,Sidi Abderrahmane,5,2001
Chlef,Sidi Akkacha,0,2001
Chlef,Sobha,0,2001
Chlef,Tadjena,0,2001
Chlef,Taougrit,3,2001
Chlef,Telassa,8,2001
Chlef,Tenes,3,2001
Chlef,Zeboudja,0,2001
Constantine,Ain Abid,0,2001
Constantine,Ain Semara,0,2001
Constantine,Ben Badis,0,2001
Constantine,Beni Hamidane,0,2001
Constantine,Boudjeriou Messaoud,0,2001
Constantine,Constantine,2,2001
Constantine,Didouche Mourad,0,2001
Constantine,El Khroub,0,2001
Constantine,Hamma Bouziane,0,2001
Constantine,Ibn Ziad,0,2001
Constantine,Ouled Rahmoune,0,2001
Constantine,Zighoud Youcef,3,2001
Djelfa,Ain Chouhada,0,2001
Djelfa,Ain El Ibel,0,2001
Djelfa,Ain Fekka,0,2001
Djelfa,Ain Maabed,0,2001
Djelfa,Ain Oussera,0,2001
Djelfa,Amourah,0,2001
Djelfa,Benhar,0,2001
Djelfa,Benyacoub,0,2001
Djelfa,Birine,0,2001
Djelfa,Bouira Lahdab,0,2001
Djelfa,Charef,0,2001
Djelfa,Dar Chioukh,0,2001
Djelfa,Deldoul,0,2001
Djelfa,Djelfa,0,2001
Djelfa,Douis,0,2001
Djelfa,El Guedid,0,2001
Djelfa,El Idrissia,0,2001
Djelfa,El Khemis,0,2001
Djelfa,Faidh El Botma,0,2001
Djelfa,Guernini,0,2001
Djelfa,Guettara,0,2001
Djelfa,Had Sahary,0,2001
Djelfa,Hassi Bahbah,0,2001
Djelfa,Hassi El Euch,0,2001
Djelfa,Hassi Fedoul,0,2001
Djelfa,Messaad,0,2001
Djelfa,M'Liliha,0,2001
Djelfa,Moudjebara,0,2001
Djelfa,Oum Laadham,0,2001
Djelfa,Sed Rahal,0,2001
Djelfa,Selmana,0,2001
Djelfa,Sidi Baizid,0,2001
Djelfa,Sidi Ladjel,0,2001
Djelfa,Tadmit,0,2001
Djelfa,Zaafrane,0,2001
Djelfa,Zaccar,0,2001
El Bayadh,Ain El Orak,0,2001
El Bayadh,Arbaouat,0,2001
El Bayadh,Boualem,0,2001
El Bayadh,Bougtoub,0,2001
El Bayadh,Boussemghoun,0,2001
El Bayadh,Brezina,0,2001
El Bayadh,Cheguig,0,2001
El Bayadh,Chellala,0,2001
El Bayadh,El Bayadh,0,2001
El Bayadh,El Biodh Sidi Cheikh,0,2001
El Bayadh,El Bnoud,0,2001
El Bayadh,El Kheither,0,2001
El Bayadh,El Mehara,0,2001
El Bayadh,Ghassoul,0,2001
El Bayadh,Kef El Ahmar,0,2001
El Bayadh,Krakda,0,2001
El Bayadh,Rogassa,0,2001
El Bayadh,Sidi Ameur,0,2001
El Bayadh,Sidi Slimane,0,2001
El Bayadh,Sidi Tifour,0,2001
El Bayadh,Stitten,0,2001
El Bayadh,Tousmouline,0,2001
El Oued,Bayadha,0,2001
El Oued,Ben Guecha,0,2001
El Oued,Debila,0,2001
El Oued,Djamaa,0,2001
El Oued,Douar El Ma,0,2001
El Oued,El M'Ghair,0,2001
El Oued,El Ogla,0,2001
El Oued,El Oued,0,2001
