SUBNATIONAL1,SUBNATIONAL2,PERTE,ANNEE
Jijel,Ouled Rabah,1,2010
Jijel,Ouled Yahia Khadrouche,0,2010
Jijel,Selma Benziada,0,2010
Jijel,Settara,1,2010
Jijel,Sidi Abdelaziz,0,2010
Jijel,Sidi Marouf,0,2010
Jijel,Taher,0,2010
Jijel,Texenna,1,2010
Jijel,Ziama Mansouria,0,2010
Jijel,Bordj Tahar,5,2011
Jijel,Boudria Beniyadjis,24,2011
Jijel,Bouraoui Belhadef,5,2011
Jijel,Boussif Ouled Askeur,20,2011
Jijel,Chahna,30,2011
Jijel,Chekfa,27,2011
Jijel,Djemaa Beni Habibi,0,2011
Jijel,Djemila,24,2011
Jijel,El Ancer,5,2011
Jijel,El Aouana,27,2011
Jijel,El Kennar Nouchfi,3,2011
Jijel,El Milia,67,2011
Jijel,Emir Abdelkader,1,2011
Jijel,Erraguene,53,2011
Jijel,Ghebala,3,2011
Jijel,Jijel,12,2011
Jijel,Kheir Oued Adjoul,4,2011
Jijel,Kouas,7,2011
Jijel,Oudjana,51,2011
Jijel,Ouled Rabah,1,2011
Jijel,Ouled Yahia Khadrouche,4,2011
Jijel,Selma Benziada,29,2011
Jijel,Settara,8,2011
Jijel,Sidi Abdelaziz,5,2011
Jijel,Sidi Marouf,1,2011
Jijel,Taher,5,2011
Jijel,Texenna,132,2011
Jijel,Ziama Mansouria,91,2011
Jijel,Bordj Tahar,32,2012
Jijel,Boudria Beniyadjis,9,2012
Jijel,Bouraoui Belhadef,23,2012
Jijel,Boussif Ouled Askeur,28,2012
Jijel,Chahna,49,2012
Jijel,Chekfa,6,2012
Jijel,Djemaa Beni Habibi,5,2012
Jijel,Djemila,9,2012
Jijel,El Ancer,10,2012
Jijel,El Aouana,116,2012
Jijel,El Kennar Nouchfi,12,2012
Jijel,El Milia,178,2012
Jijel,Emir Abdelkader,0,2012
Jijel,Erraguene,16,2012
Jijel,Ghebala,25,2012
Jijel,Jijel,1,2012
Jijel,Kheir Oued Adjoul,7,2012
Jijel,Kouas,26,2012
Jijel,Oudjana,18,2012
Jijel,Ouled Rabah,1,2012
Jijel,Ouled Yahia Khadrouche,32,2012
Jijel,Selma Benziada,60,2012
Jijel,Settara,61,2012
Jijel,Sidi Abdelaziz,73,2012
Jijel,Sidi Marouf,4,2012
Jijel,Taher,0,2012
