SUBNATIONAL1,SUBNATIONAL2,THRESHOLD,AREA_HA,TC_LOSS_HA_2017,TC_LOSS_HA_2018
ANNABA,EL EULMA,25,16110,227,46
ANNABA,EL EULMA,30,16110,214,45
ANNABA,EL EULMA,50,16110,137,20
ANNABA,EL EULMA,75,16110,68,5
ANNABA,EL HADJAR,10,6291,1,0
ANNABA,EL HADJAR,15,6291,0,0
ANNABA,EL HADJAR,20,6291,0,0
ANNABA,EL HADJAR,25,6291,0,0
ANNABA,EL HADJAR,30,6291,0,0
ANNABA,EL HADJAR,50,6291,0,0
ANNABA,EL HADJAR,75,6291,0,0
ANNABA,OUED EL ANEB,10,18946,1688,95
ANNABA,OUED EL ANEB,15,18946,1636,92
ANNABA,OUED EL ANEB,20,18946,1610,90
ANNABA,OUED EL ANEB,25,18946,1566,88
ANNABA,OUED EL ANEB,30,18946,1498,84
ANNABA,OUED EL ANEB,50,18946,1164,67
ANNABA,OUED EL ANEB,75,18946,610,39
ANNABA,SERAIDI,10,13840,888,72
ANNABA,SERAIDI,15,13840,877,72
ANNABA,SERAIDI,20,13840,870,71
ANNABA,SERAIDI,25,13840,858,71
ANNABA,SERAIDI,30,13840,846,71
ANNABA,SERAIDI,50,13840,766,68
ANNABA,SERAIDI,75,13840,532,54
ANNABA,SIDI AMAR,10,4249,24,0
ANNABA,SIDI AMAR,15,4249,23,0
ANNABA,SIDI AMAR,20,4249,22,0
ANNABA,SIDI AMAR,25,4249,21,0
ANNABA,SIDI AMAR,30,4249,20,0
ANNABA,SIDI AMAR,50,4249,12,0
ANNABA,SIDI AMAR,75,4249,4,0
ANNABA,TREAT,10,12584,184,71
ANNABA,TREAT,15,12584,175,65
ANNABA,TREAT,20,12584,170,63
ANNABA,TREAT,25,12584,164,61
ANNABA,TREAT,30,12584,149,49
ANNABA,TREAT,50,12584,106,33
ANNABA,TREAT,75,12584,51,14
AÏN DEFLA,AIN BENIAN,10,3085,1,0
AÏN DEFLA,AIN BENIAN,15,3085,0,0
AÏN DEFLA,AIN BENIAN,20,3085,0,0
AÏN DEFLA,AIN BENIAN,25,3085,0,0
AÏN DEFLA,AIN BENIAN,30,3085,0,0
AÏN DEFLA,AIN BENIAN,50,3085,0,0
AÏN DEFLA,AIN BENIAN,75,3085,0,0
AÏN DEFLA,AIN BOUIHI,10,13665,43,31
AÏN DEFLA,AIN BOUIHI,15,13665,39,31
AÏN DEFLA,AIN BOUIHI,20,13665,39,31
AÏN DEFLA,AIN BOUIHI,25,13665,38,31
AÏN DEFLA,AIN BOUIHI,30,13665,37,31
AÏN DEFLA,AIN BOUIHI,50,13665,24,24
AÏN DEFLA,AIN BOUIHI,75,13665,11,12
AÏN DEFLA,AIN DEFLA,10,10482,1,0
AÏN DEFLA,AIN DEFLA,15,10482,1,0
AÏN DEFLA,AIN DEFLA,20,10482,1,0
AÏN DEFLA,AIN DEFLA,25,10482,0,0
AÏN DEFLA,AIN DEFLA,30,10482,0,0
AÏN DEFLA,AIN DEFLA,50,10482,0,0
AÏN DEFLA,AIN DEFLA,75,10482,0,0
AÏN DEFLA,AIN LECHIAKH,10,13295,0,0
AÏN DEFLA,AIN LECHIAKH,15,13295,0,0
AÏN DEFLA,AIN LECHIAKH,20,13295,0,0
AÏN DEFLA,AIN LECHIAKH,25,13295,0,0
AÏN DEFLA,AIN LECHIAKH,30,13295,0,0
AÏN DEFLA,AIN LECHIAKH,50,13295,0,0
AÏN DEFLA,AIN LECHIAKH,75,13295,0,0
