SUBNATIONAL1,SUBNATIONAL2,TC_LOSS_HA_,ANNEE
JIJEL,EL MILIA,93,2009
JIJEL,EMIR ABDELKADER,0,2009
JIJEL,ERRAGUENE,32,2009
JIJEL,GHEBALA,11,2009
JIJEL,JIJEL,26,2009
JIJEL,KHEIR OUED ADJOUL,0,2009
JIJEL,KOUAS,0,2009
JIJEL,OUDJANA,10,2009
JIJEL,OULED RABAH,1,2009
JIJEL,OULED YAHIA KHADROUCHE,4,2009
JIJEL,SELMA BENZIADA,58,2009
JIJEL,SETTARA,9,2009
JIJEL,SIDI ABDELAZIZ,2,2009
JIJEL,SIDI MAROUF,0,2009
JIJEL,TAHER,0,2009
JIJEL,TEXENNA,76,2009
JIJEL,ZIAMA MANSOURIA,190,2009
JIJEL,BORDJ TAHAR,1,2010
JIJEL,BOUDRIA BENIYADJIS,5,2010
JIJEL,BOURAOUI BELHADEF,1,2010
JIJEL,BOUSSIF OULED ASKEUR,1,2010
JIJEL,CHAHNA,1,2010
JIJEL,CHEKFA,1,2010
JIJEL,DJEMAA BENI HABIBI,0,2010
JIJEL,DJEMILA,0,2010
JIJEL,EL ANCER,2,2010
JIJEL,EL AOUANA,6,2010
JIJEL,EL KENNAR NOUCHFI,0,2010
JIJEL,EL MILIA,25,2010
JIJEL,EMIR ABDELKADER,0,2010
JIJEL,ERRAGUENE,1,2010
JIJEL,GHEBALA,0,2010
JIJEL,JIJEL,4,2010
JIJEL,KHEIR OUED ADJOUL,1,2010
JIJEL,KOUAS,0,2010
JIJEL,OUDJANA,0,2010
JIJEL,OULED RABAH,1,2010
JIJEL,OULED YAHIA KHADROUCHE,0,2010
JIJEL,SELMA BENZIADA,0,2010
JIJEL,SETTARA,1,2010
JIJEL,SIDI ABDELAZIZ,0,2010
JIJEL,SIDI MAROUF,0,2010
JIJEL,TAHER,0,2010
JIJEL,TEXENNA,1,2010
JIJEL,ZIAMA MANSOURIA,0,2010
JIJEL,BORDJ TAHAR,5,2011
JIJEL,BOUDRIA BENIYADJIS,24,2011
JIJEL,BOURAOUI BELHADEF,5,2011
JIJEL,BOUSSIF OULED ASKEUR,20,2011
JIJEL,CHAHNA,30,2011
JIJEL,CHEKFA,27,2011
JIJEL,DJEMAA BENI HABIBI,0,2011
JIJEL,DJEMILA,24,2011
JIJEL,EL ANCER,5,2011
JIJEL,EL AOUANA,27,2011
JIJEL,EL KENNAR NOUCHFI,3,2011
JIJEL,EL MILIA,67,2011
JIJEL,EMIR ABDELKADER,1,2011
JIJEL,ERRAGUENE,53,2011
JIJEL,GHEBALA,3,2011
JIJEL,JIJEL,12,2011
JIJEL,KHEIR OUED ADJOUL,4,2011
JIJEL,KOUAS,7,2011
JIJEL,OUDJANA,51,2011
JIJEL,OULED RABAH,1,2011
JIJEL,OULED YAHIA KHADROUCHE,4,2011
JIJEL,SELMA BENZIADA,29,2011
JIJEL,SETTARA,8,2011
JIJEL,SIDI ABDELAZIZ,5,2011
JIJEL,SIDI MAROUF,1,2011
JIJEL,TAHER,5,2011
JIJEL,TEXENNA,132,2011
JIJEL,ZIAMA MANSOURIA,91,2011
JIJEL,BORDJ TAHAR,32,2012
JIJEL,BOUDRIA BENIYADJIS,9,2012
JIJEL,BOURAOUI BELHADEF,23,2012
JIJEL,BOUSSIF OULED ASKEUR,28,2012
JIJEL,CHAHNA,49,2012
JIJEL,CHEKFA,6,2012
JIJEL,DJEMAA BENI HABIBI,5,2012
JIJEL,DJEMILA,9,2012
JIJEL,EL ANCER,10,2012
JIJEL,EL AOUANA,116,2012
JIJEL,EL KENNAR NOUCHFI,12,2012
JIJEL,EL MILIA,178,2012
JIJEL,EMIR ABDELKADER,0,2012
JIJEL,ERRAGUENE,16,2012
JIJEL,GHEBALA,25,2012
JIJEL,JIJEL,1,2012
JIJEL,KHEIR OUED ADJOUL,7,2012
JIJEL,KOUAS,26,2012
JIJEL,OUDJANA,18,2012
