COUNTRY,SUBNATIONAL1,SUBNATIONAL2,THRESHOLD,AREA_HA,EXTENT_2000_HA,EXTENT_2010_HA,GAIN_2000_2012_HA,TC_LOSS_HA_2001,TC_LOSS_HA_2002,TC_LOSS_HA_2003,TC_LOSS_HA_2004,TC_LOSS_HA_2005,TC_LOSS_HA_2006,TC_LOSS_HA_2007,TC_LOSS_HA_2008,TC_LOSS_HA_2009,TC_LOSS_HA_2010,TC_LOSS_HA_2011,TC_LOSS_HA_2012,TC_LOSS_HA_2013,TC_LOSS_HA_2014,TC_LOSS_HA_2015,TC_LOSS_HA_2016,TC_LOSS_HA_2017,TC_LOSS_HA_2018
ALGERIA,ANNABA,OUED EL ANEB,10,18946,13963,13112,309,3,31,224,46,35,118,14,65,417,80,101,163,212,91,109,186,1688,95
ALGERIA,ANNABA,SERAIDI,10,13840,11667,12042,459,11,8,1,2,24,28,5,4,32,1,29,183,81,41,72,31,888,72
ALGERIA,ANNABA,SIDI AMAR,10,4249,1237,1194,29,0,0,0,0,0,0,0,0,0,0,31,5,5,14,3,2,24,0
ALGERIA,ANNABA,TREAT,10,12584,8228,7797,168,3,6,48,2,29,178,18,11,45,17,6,792,193,191,23,42,184,71
ALGERIA,AÏN DEFLA,AIN BENIAN,10,3085,443,258,3,1,0,3,4,0,2,18,9,46,0,1,14,0,4,0,2,1,0
ALGERIA,AÏN DEFLA,AIN BOUIHI,10,13665,3017,1271,5,1,0,1,51,42,16,10,22,47,33,61,11,5,3,1,14,43,31
ALGERIA,AÏN DEFLA,AIN DEFLA,10,10482,749,531,6,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0
ALGERIA,AÏN DEFLA,AIN LECHIAKH,10,13295,130,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALGERIA,AÏN DEFLA,AIN SOLTANE,10,10495,146,89,3,7,0,0,0,0,0,1,0,1,0,0,0,0,2,2,2,1,1
ALGERIA,AÏN DEFLA,AIN TORK,10,10043,5079,3432,7,36,28,42,70,4,73,122,104,288,4,87,66,5,23,25,13,11,13
ALGERIA,AÏN DEFLA,ARIB,10,21870,10077,5921,8,2,12,10,39,13,40,57,45,63,8,264,30,20,7,5,2,3,91
ALGERIA,AÏN DEFLA,BARBOUCHE,10,7505,294,120,9,21,1,1,0,2,0,0,8,4,0,0,8,1,1,0,0,4,0
ALGERIA,AÏN DEFLA,BATHIA,10,10560,2829,360,3,1,1,5,3,3,12,2,12,11,1,8,2,0,0,0,0,0,3
ALGERIA,AÏN DEFLA,BELAAS,10,15201,3533,367,2,6,2,14,30,1,12,8,39,2,27,10,2,1,1,0,0,0,0
ALGERIA,AÏN DEFLA,BEN ALLAL,10,14357,8558,4896,6,13,55,90,30,12,96,96,188,148,7,203,53,9,21,5,2,111,57
ALGERIA,AÏN DEFLA,BIR OULD KHELIFA,10,6584,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALGERIA,AÏN DEFLA,BORDJ EMIR KHALED,10,16976,3147,1017,7,96,9,14,19,19,14,54,23,215,1,16,18,10,4,3,1,1,0
ALGERIA,AÏN DEFLA,BOUMEDFAA,10,12902,1215,980,4,2,0,0,9,1,1,7,17,3,3,8,6,0,13,6,2,1,1
ALGERIA,AÏN DEFLA,BOURACHED,10,12212,734,640,2,0,0,0,2,0,0,0,7,0,0,4,4,0,0,1,1,0,5
ALGERIA,AÏN DEFLA,DJELIDA,10,20461,654,302,2,8,15,1,1,0,1,0,0,1,1,2,3,0,0,0,0,1,0
ALGERIA,AÏN DEFLA,DJEMAA OULED CHEIKH,10,13701,2016,271,0,8,6,5,11,3,18,8,15,2,1,14,1,2,15,4,0,9,2
ALGERIA,AÏN DEFLA,DJENDEL,10,16250,109,35,0,0,0,1,0,1,0,0,1,2,1,0,1,0,0,0,0,0,0
ALGERIA,AÏN DEFLA,EL ABADIA,10,10546,12,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALGERIA,AÏN DEFLA,EL AMRA,10,18056,7056,2707,21,23,4,4,30,60,37,8,11,73,30,113,13,39,28,2,7,16,9
ALGERIA,AÏN DEFLA,EL ATTAF,10,8432,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALGERIA,AÏN DEFLA,EL HASSANIA,10,14681,4297,790,3,1,2,34,46,0,25,11,58,1,5,39,23,11,4,0,0,0,0
ALGERIA,AÏN DEFLA,EL MAINE,10,17448,3052,624,11,35,42,63,80,55,19,26,127,25,7,25,6,2,0,0,1,3,7
ALGERIA,AÏN DEFLA,HAMMAM RIGHA,10,8175,4639,3690,10,1,21,27,67,12,125,92,66,226,1,27,29,1,92,149,27,178,88
ALGERIA,AÏN DEFLA,HOCEINIA,10,7152,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALGERIA,AÏN DEFLA,KHEMIS MILIANA,10,4121,106,45,1,0,0,1,1,2,8,3,2,2,0,0,1,0,0,0,0,0,0
ALGERIA,AÏN DEFLA,MEKHATRIA,10,10447,2951,1265,4,0,2,24,4,38,44,3,1,5,1,84,24,7,2,1,0,0,0
ALGERIA,AÏN DEFLA,MILIANA,10,3931,1114,591,16,25,0,10,42,17,27,12,11,47,2,47,18,2,1,0,0,0,0
ALGERIA,AÏN DEFLA,OUED CHORFA,10,7917,401,213,11,16,0,0,0,0,1,1,7,4,0,1,1,0,0,0,0,2,4
